t_index	term	df
408	anatoli	8
409	anca	4
410	ancestor	3
411	ancestr	25
412	ancestri	1
413	anchor	8
414	anchorag	2
415	anchorman	3
416	ancient	4
417	andean	6
418	anderson	4
419	andi	5
420	andjelkov	1
421	andoslavia	1
422	andr	48
423	andrea	14
424	andrei	2
425	andrew	15
426	andrik	1
427	anew	7
428	angel	13
429	anger	46
430	angl	12
431	anglican	1
432	angri	27
433	angrili	4
434	anguish	8
435	anim	2
436	animist	2
437	animos	11
438	anjana	1
439	anjar	6
440	anjay	1
441	ank	2
442	ankl	9
443	ann	11
444	anna	21
445	annabel	1
446	annacon	1
447	annan	13
448	anniversari	15
449	announc	164
450	annoy	2
451	annual	18
452	annul	11
453	anomali	1
454	anonym	63
455	anoth	263
456	answer	51
457	antagon	1
458	antasiaovich	1
459	antenna	2
460	anthem	6
461	anthoni	27
462	anthropologist	2
463	anti	85
464	antiballist	1
465	antibiot	5
466	anticip	17
467	anticlimact	1
468	antonia	6
469	antonin	1
470	antonio	26
471	anwar	4
472	anxieti	3
473	anxiou	11
474	anxious	2
475	anybodi	14
476	anymor	9
477	anyon	58
478	anyth	94
479	anytim	4
480	anyway	13
481	anywher	18
482	aon	1
483	ap	20
484	apart	69
485	ape	1
486	apec	4
487	apex	1
488	apolit	1
489	apolog	18
490	appal	1
491	appallingli	1
492	appar	193
493	apparatu	7
494	appeal	95
495	appear	196
496	appel	1
497	appetit	2
498	appl	3
499	applaud	10
500	applaus	8
501	appleton	2
502	appli	18
503	applic	16
504	appoint	68
505	appointe	3
506	apprais	2
507	appreci	16
508	apprehend	4
509	apprehens	2
510	apprentic	3
511	appris	1
512	approach	49
513	appropri	18
514	approv	25
515	approxim	12
516	april	67
517	aprista	4
518	apron	1
519	aquil	2
520	ar	3
521	arab	61
522	arabi	1
523	arabia	71
524	arabian	44
525	arafat	16
526	arantxa	3
527	arazi	7
528	arbadi	1
529	arbit	1
530	arbitrari	2
531	arbitrarili	1
532	arc	1
533	arch	2
534	archaeolog	2
535	archbishop	4
536	archer	1
537	archeri	4
538	archetyp	1
539	archi	5
540	archibald	1
541	architect	7
542	architectur	4
543	arctic	6
544	ardent	4
545	arduou	1
546	are	2
547	area	186
548	aren	16
549	arena	22
550	aretz	1
551	argentin	1
552	argentina	10
553	argu	45
554	arguabl	2
555	argument	18
556	ari	1
557	arid	5
558	arif	1
559	arisen	1
560	arithmet	1
561	aritomi	4
562	ariz	8
563	arizona	7
564	ark	8
565	arkadelphia	1
566	arkan	1
567	arkansa	28
568	arkin	2
569	arleigh	3
570	arlen	2
571	arlington	8
572	arm	133
573	armament	2
574	armbrist	1
575	armenia	2
576	armey	1
577	armi	136
578	armitag	1
579	armor	17
580	armori	3
581	arn	3
582	arnaud	17
583	arni	1
584	arno	1
585	arnold	3
586	arnot	1
587	aros	5
588	around	191
589	arous	1
590	arraign	2
591	arrang	38
592	array	6
593	arrear	1
594	arrest	109
595	arriv	180
596	arrog	3
597	arrow	4
598	arsen	10
599	arseni	1
600	arsonist	1
601	art	11
602	arthriti	1
603	arthur	4
604	articl	5
605	articul	1
606	artifact	1
607	artifici	4
608	artist	4
609	artudo	1
610	arturo	6
611	aruba	2
612	aryapov	1
613	asa	1
614	asahi	1
615	ascend	1
616	ascrib	4
617	asean	1
618	ash	5
619	asham	1
620	ashcroft	56
621	ashkroft	1
622	ashok	1
623	ashor	2
624	ashraf	1
625	ashtray	1
626	asia	32
627	asian	15
628	asid	30
629	ask	196
630	aspect	11
631	aspir	2
632	assad	1
633	assail	4
634	assam	6
635	assassin	21
636	assault	28
637	assembl	19
638	assert	17
639	assess	48
640	asset	10
641	assign	24
642	assist	76
643	associ	119
644	assort	1
645	assum	38
646	assumpt	7
647	assur	35
648	assuredli	2
649	astakhov	12
650	asterisk	2
651	astonish	7
652	astound	2
653	astronom	1
654	astut	1
655	asylum	29
656	asymmetr	2
657	atal	13
658	atck	2
659	ate	4
660	atf	2
661	atfein	1
662	ath	1
663	athal	1
664	athlet	3
665	atlant	15
666	atlanta	6
667	atmat	1
668	atmospher	10
669	atom	4
670	atop	13
671	atp	3
672	atroc	10
673	atrophi	1
674	attach	15
675	attack	306
676	attain	1
677	attar	1
678	attempt	112
679	attend	68
680	attent	64
681	attest	2
682	attitud	10
683	attorney	58
684	attract	15
685	attribut	12
686	attrit	1
687	atwan	1
688	aubrey	19
689	aubri	5
690	audienc	16
691	audio	4
692	audiotap	1
693	auditor	5
694	auditorium	1
695	aug	33
696	augment	1
697	august	32
698	aunt	2
699	aur	5
700	aura	1
701	aurora	4
702	ausi	1
703	aussi	9
704	auster	2
705	austin	18
706	australia	23
707	australian	72
708	austria	3
709	austrian	1
710	austro	1
711	authent	2
712	author	255
713	authoritarian	27
714	auto	1
715	autocrat	27
716	autograph	1
717	autom	1
718	automat	18
719	automobil	4
720	autonom	1
721	autonomi	3
722	autopilot	1
723	autopsi	1
724	autumn	2
725	avail	44
726	avala	1
727	avalanch	1
728	ave	1
729	aveng	7
730	avent	1
731	avenu	4
732	averag	14
733	avert	6
734	aviat	3
735	aviv	4
736	avner	2
737	avoid	59
738	avow	1
739	aw	10
740	awad	2
741	await	27
742	awaken	2
743	awar	18
744	award	9
745	away	167
746	awe	4
747	aweigh	1
748	awkward	4
749	awn	4
750	awok	1
751	axam	1
752	axe	1
753	ay	2
754	ayatollah	1
755	aykroyd	1
756	ayman	5
757	aynaoui	1
758	ayr	1
759	ayyam	2
760	az	1
761	aziz	1
762	azul	1
763	azulay	2
764	b	24
765	ba	2
766	babenko	2
767	babi	14
768	babkin	6
769	baboa	1
770	back	380
771	backa	1
772	backbo	1
773	backcourt	1
774	backdrop	4
775	backer	14
776	backfir	5
777	background	4
778	backhand	14
779	backho	1
780	backlash	3
781	backstop	2
782	backup	2
783	backward	3
784	backyard	1
785	bacon	18
786	bad	39
787	badawi	1
788	badg	3
789	badli	39
790	badrasen	5
791	baffl	2
792	bag	14
793	bagad	1
794	baggag	1
795	baghbel	1
796	baghdad	2
797	bahg	5
798	bahrain	35
799	bai	1
800	baijubahi	2
801	bail	4
802	bailey	6
803	baird	1
804	bairnt	1
805	bait	1
806	bakarec	3
807	bake	2
808	baken	1
809	baker	5
810	bakhshish	1
811	bakri	5
812	balanc	21
813	balawat	1
814	balcacer	2
815	balconi	11
816	bald	1
817	balint	1
818	balk	4
819	balkan	25
820	ball	30
821	ballard	1
822	ballast	2
823	ballena	1
824	ballist	2
825	ballo	1
826	balloon	3
827	ballot	72
828	ballroom	2
829	balonia	1
830	balsamo	1
831	baltimor	3
832	baltin	1
833	bamba	3
834	bambi	1
835	bamboo	4
836	bament	1
837	ban	24
838	banco	1
839	band	11
840	bandag	8
841	bandanna	3
842	bandit	1
843	bang	7
844	bangalor	1
845	bangaru	3
846	bangladesh	5
847	bank	69
848	banker	10
849	bankrupt	5
850	bankruptci	4
851	banner	9
852	bannon	1
853	banquet	1
854	baptist	6
855	bar	54
856	barak	9
857	barb	4
858	barbar	2
859	barbara	24
860	barber	1
861	barbershop	1
862	barcelona	1
863	bare	46
864	barefacedli	1
865	barent	36
866	barg	3
867	bargain	9
868	bari	1
869	bark	1
870	barkina	2
871	barkolla	1
872	barkova	3
873	barna	4
874	barney	1
875	barnstorm	1
876	barot	1
877	barov	1
878	barr	2
879	barrack	35
880	barrag	2
881	barrel	2
882	barrera	2
883	barri	1
884	barricad	18
885	barrier	12
886	bartlett	1
887	barua	5
888	base	188
889	basebal	5
890	baselin	16
891	basement	1
892	basher	1
893	bashraheel	1
894	bashrahel	1
895	basi	15
896	basic	43
897	basilica	1
898	bask	2
899	basket	3
900	basketbal	1
901	basset	1
902	bassiouni	1
903	bastion	6
904	batch	1
905	bath	4
906	bathroom	3
907	bathtub	1
908	batic	2
909	baton	4
910	battalion	3
911	batten	1
912	batter	8
913	batteri	2
914	battl	78
915	battlefield	4
916	battleground	8
917	bauman	6
918	bautista	1
919	bavaria	1
920	bay	7
921	bazaar	1
922	bbc	29
923	be	1
924	beach	17
925	beachfront	1
926	bead	1
927	beal	1
928	beam	14
929	bean	3
930	bear	23
931	beard	20
932	bearer	2
933	beat	79
934	beaten	31
935	beater	3
936	beaumont	1
937	beauti	6
938	beaver	1
939	becam	104
940	becausec	1
941	beci	2
942	becker	1
943	becom	115
944	bed	35
945	bedanova	2
946	bedi	12
947	bedouin	1
948	bedroom	6
949	bedsheet	1
950	beef	6
951	beer	2
952	befit	1
953	befriend	1
954	befuddl	1
955	beg	4
956	began	156
957	beggar	1
958	begin	151
959	begun	31
960	behalf	8
961	behan	1
962	behari	3
963	behav	9
964	behavior	11
965	behind	155
966	beholden	3
967	beij	3
968	beirut	9
969	bekki	3
970	belaru	1
971	belch	1
972	beleagu	3
973	belgian	5
974	belgium	6
975	belgrad	100
976	beli	1
977	belida	3
978	belief	17
979	believ	292
980	belittl	1
981	bell	4
982	belliger	1
983	belong	31
984	belov	5
985	belt	8
986	bema	2
987	bemoan	1
988	ben	5
989	bench	4
990	benchmark	1
991	bend	2
992	beneath	31
993	benefactor	2
994	benefici	1
995	beneficiari	1
996	benefit	17
997	benevol	7
998	benign	1
999	benin	8
1000	benito	1
1001	benjamin	2
1002	bennett	1
1003	benni	1
1004	bent	13
1005	benton	1
1006	bequeath	1
1007	berat	1
1008	bere	1
1009	beresich	1
1010	beretta	1
1011	bergen	1
1012	berger	25
1013	berlin	8
1014	bernstein	2
1015	bershard	1
1016	bershevski	1
1017	berth	2
1018	beschloss	1
1019	beset	2
1020	besid	27
1021	besieg	4
1022	bespectacl	2
1023	best	101
1024	bet	5
1025	beta	8
1026	beth	1
1027	betray	4
1028	betrisia	1
1029	better	119
1030	bevan	1
1031	beveneari	1
1032	bewild	1
1033	beyond	37
1034	bhaba	2
1035	bhachau	4
1036	bhagat	1
