t_index	term	df
3173	dragon	2
3174	drain	8
3175	drama	13
3176	draman	15
3177	dramat	33
3178	drape	18
3179	draper	2
3180	draskov	4
3181	drastic	1
3182	draw	48
3183	drawn	17
3184	dread	1
3185	dream	20
3186	dress	24
3187	dresser	1
3188	drew	23
3189	drexel	1
3190	dri	17
3191	drift	3
3192	drill	8
3193	drink	13
3194	drip	1
3195	drissa	3
3196	drive	65
3197	driven	17
3198	driver	24
3199	driveway	1
3200	drizzl	1
3201	drizzli	1
3202	drop	52
3203	drought	2
3204	drove	22
3205	drown	6
3206	drub	1
3207	drudg	1
3208	drug	41
3209	drugli	1
3210	drum	1
3211	drumbeat	2
3212	drummer	2
3213	drunk	3
3214	drunken	1
3215	drydock	1
3216	dtic	2
3217	du	1
3218	dual	1
3219	duan	1
3220	dub	3
3221	dubai	5
3222	dubiou	1
3223	duboc	1
3224	duc	7
3225	duck	4
3226	duct	6
3227	dudley	12
3228	due	38
3229	duel	3
3230	duffel	2
3231	duffi	4
3232	duffl	1
3233	dug	22
3234	duglon	1
3235	duguid	2
3236	duke	1
3237	dull	1
3238	duluth	1
3239	duma	1
3240	dump	12
3241	duo	1
3242	duopoli	1
3243	dupe	1
3244	duplic	1
3245	durango	2
3246	duress	1
3247	dusan	1
3248	dusk	2
3249	dust	13
3250	dusti	11
3251	dutch	3
3252	duti	27
3253	duval	1
3254	dwarf	1
3255	dwell	2
3256	dweller	3
3257	dwight	2
3258	dwindl	11
3259	dwyer	1
3260	dy	5
3261	dye	2
3262	dygalo	2
3263	dynam	4
3264	dynamit	8
3265	dynasti	1
3266	dysfunct	1
3267	e	16
3268	eager	18
3269	eagl	1
3270	eagleton	1
3271	eaker	1
3272	eant	1
3273	ear	7
3274	eardrum	2
3275	earli	181
3276	earlier	188
3277	earliest	7
3278	earmark	8
3279	earn	23
3280	earnest	5
3281	earshot	1
3282	earth	29
3283	earthmov	3
3284	earthquak	111
3285	eas	27
3286	easi	34
3287	easier	12
3288	easiest	2
3289	easili	25
3290	easley	1
3291	east	128
3292	eastern	40
3293	eat	15
3294	eaten	3
3295	eavesdrop	1
3296	eb	3
3297	ebb	5
3298	ebri	1
3299	eccel	1
3300	echeverria	1
3301	echo	28
3302	eclips	2
3303	ecolog	1
3304	ecologist	1
3305	econolin	1
3306	econom	83
3307	economi	73
3308	economist	12
3309	ecstat	1
3310	ecuador	10
3311	ecuadorian	1
3312	ed	12
3313	edberg	1
3314	edg	49
3315	edgar	1
3316	edict	1
3317	edific	1
3318	edikipa	1
3319	edinburgh	1
3320	edit	16
3321	editor	16
3322	editori	16
3323	edmond	32
3324	edmund	25
3325	edmundo	1
3326	edt	13
3327	eduard	1
3328	eduardo	1
3329	educ	40
3330	edward	6
3331	edwardo	1
3332	edwin	2
3333	ee	3
3334	eeri	2
3335	eerili	1
3336	effect	76
3337	effici	4
3338	effort	185
3339	effortlessli	1
3340	eg	1
3341	egg	5
3342	egoavil	3
3343	egotist	2
3344	egregi	1
3345	egypt	26
3346	egyptian	31
3347	ehud	8
3348	eight	113
3349	eighteen	1
3350	eighth	22
3351	eighti	5
3352	eisenhow	3
3353	either	60
3354	eject	2
3355	ekra	1
3356	el	74
3357	elabor	24
3358	elana	1
3359	elast	1
3360	elat	1
3361	elayn	1
3362	elbaum	1
3363	elbow	7
3364	elder	6
3365	elderli	5
3366	eldest	3
3367	elect	312
3368	elector	80
3369	electr	42
3370	electrician	3
3371	electrifi	1
3372	electrocut	1
3373	electron	11
3374	eleg	5
3375	element	21
3376	elementari	2
3377	elena	6
3378	elev	4
3379	eleven	12
3380	elia	4
3381	eliac	1
3382	elier	1
3383	elig	10
3384	elimin	32
3385	elit	7
3386	elizabeth	7
3387	ellen	5
3388	elli	2
3389	elliot	2
3390	ellips	2
3391	ellipt	1
3392	ellwood	1
3393	eln	1
3394	elong	1
3395	els	34
3396	elsewher	55
3397	elton	1
3398	elud	12
3399	elus	4
3400	em	2
3401	eman	1
3402	emanuel	1
3403	embargo	31
3404	embark	4
3405	embarrass	10
3406	embassi	118
3407	embattl	9
3408	embed	1
3409	embellish	1
3410	emblemat	1
3411	embrac	20
3412	embroil	1
3413	emerg	111
3414	emerson	2
3415	emigr	7
3416	emil	5
3417	emili	2
3418	emilio	2
3419	emin	2
3420	emir	7
3421	emiss	1
3422	emissari	1
3423	emit	1
3424	emkne	1
3425	emmanuel	3
3426	emot	47
3427	empathet	1
3428	empathi	1
3429	emperor	4
3430	emphas	9
3431	emphasi	7
3432	emphat	5
3433	empir	6
3434	employ	19
3435	employe	50
3436	empow	2
3437	empt	1
3438	empti	14
3439	emul	3
3440	en	32
3441	enabl	10
3442	enact	4
3443	encircl	1
3444	enclos	1
3445	encor	1
3446	encount	15
3447	encourag	33
3448	end	277
3449	endang	5
3450	endear	1
3451	endeavor	3
3452	endem	1
3453	endors	12
3454	endur	18
3455	enemi	46
3456	energ	3
3457	energet	1
3458	energi	29
3459	enforc	46
3460	engag	25
3461	engend	2
3462	engin	54
3463	engineerman	1
3464	engineman	1
3465	england	2
3466	english	18
3467	engrav	1
3468	engulf	7
3469	enhanc	5
3470	enigmat	1
3471	enjoin	1
3472	enjoy	19
3473	enlarg	4
3474	enlist	14
3475	enmesh	1
3476	enmiti	2
3477	enorm	27
3478	enough	136
3479	enqvist	1
3480	enrag	2
3481	enrich	1
3482	ensembl	2
3483	ensign	4
3484	ensnar	2
3485	ensu	9
3486	ensul	1
3487	ensur	34
3488	entail	1
3489	entangl	2
3490	enter	67
3491	enterpris	4
3492	entertain	5
3493	enthusiasm	8
3494	enthusiast	7
3495	entic	4
3496	entir	44
3497	entireti	1
3498	entiti	2
3499	entitl	6
3500	entomb	4
3501	entourag	3
3502	entranc	7
3503	entrench	2
3504	entrepreneur	2
3505	entrepreneuri	2
3506	entrepreneurship	5
3507	entri	3
3508	entrust	2
3509	envelop	1
3510	envi	1
3511	environ	8
3512	environment	11
3513	environmentalist	3
3514	envis	2
3515	envisag	1
3516	envoy	7
3517	epa	1
3518	epic	2
3519	epicent	31
3520	epidem	2
3521	epiphani	1
3522	episcop	3
3523	episod	2
3524	equal	20
3525	equanim	1
3526	equip	89
3527	equival	12
3528	er	2
3529	era	53
3530	eras	11
3531	erect	7
3532	erena	1
3533	eri	3
3534	eric	6
3535	erinson	1
3536	erlang	1
3537	ernesto	4
3538	erni	4
3539	erod	9
3540	eros	4
3541	err	1
3542	errand	1
3543	errat	8
3544	erron	3
3545	error	47
3546	erupt	18
3547	es	5
3548	esam	1
3549	escal	9
3550	escap	85
3551	escape	28
3552	escort	10
3553	escud	3
3554	especi	74
3555	espehello	1
3556	espi	6
3557	espionag	34
3558	espitia	1
3559	espo	1
3560	espous	1
3561	essay	3
3562	essenc	3
3563	essenti	16
3564	est	1
3565	establish	51
3566	estat	18
3567	estim	63
3568	estrada	1
3569	estrang	1
3570	et	3
3571	etar	1
3572	etat	7
3573	etcetera	1
3574	ethan	2
3575	ethic	7
3576	ethiopia	1
3577	ethnic	34
3578	ethnocentr	2
3579	etoge	1
3580	eu	8
3581	eucom	1
3582	eugen	4
3583	eulog	3
3584	euphor	1
3585	euphoria	6
3586	europ	50
3587	european	52
3588	evacu	24
3589	evad	7
3590	evalu	11
3591	evan	5
3592	evanel	1
3593	evapor	3
3594	evas	14
3595	eve	63
3596	evelyn	2
3597	even	314
3598	evenh	1
3599	evenhand	1
3600	evenli	5
3601	event	85
3602	eventu	45
3603	ever	109
3604	everett	1
3605	everi	92
3606	eversinc	1
3607	evert	11
3608	everybodi	20
3609	everyday	10
3610	everyon	57
3611	everyth	77
3612	everywher	18
3613	evi	4
3614	evict	2
3615	evid	131
3616	evidenc	1
3617	evil	2
3618	evoc	1
3619	evok	1
3620	evolut	3
3621	ewe	4
3622	ex	47
3623	exacerb	1
3624	exact	8
3625	exactli	37
3626	exagger	4
3627	exalt	1
3628	exam	4
3629	examin	49
3630	exampl	40
3631	exasper	2
3632	excav	12
3633	exceed	5
3634	exceedingli	1
3635	excel	5
3636	except	27
3637	excerpt	5
3638	excess	2
3639	exchang	23
3640	excit	9
3641	exclaim	1
3642	exclam	2
3643	exclud	20
3644	exclus	20
3645	exclusion	2
3646	exclusionari	1
3647	excruci	1
3648	excus	7
3649	execut	71
3650	exemplari	1
3651	exemplifi	1
3652	exempt	2
3653	exercis	22
3654	exhaust	26
3655	exhibit	3
3656	exhilar	1
3657	exhort	2
3658	exil	43
3659	exist	21
3660	exit	25
3661	exocet	1
3662	exodu	3
3663	exoner	1
3664	expand	18
3665	expans	5
3666	expatri	3
3667	expect	187
3668	expectantli	1
3669	expedi	2
3670	expedit	4
3671	expel	5
3672	expenditur	2
3673	expens	21
3674	experi	46
3675	experienc	8
3676	expert	118
3677	expertis	8
3678	expir	9
3679	explain	35
3680	explan	13
3681	explicit	4
3682	explicitli	6
3683	explod	43
3684	exploit	7
3685	explor	13
3686	explos	223
3687	export	22
3688	expos	8
3689	express	76
3690	expuls	1
3691	exquisit	1
3692	extend	38
3693	extens	34
3694	extent	27
3695	exterior	3
3696	extern	14
3697	extinct	2
3698	extinguish	2
3699	extol	2
3700	extort	4
3701	extra	21
3702	extract	6
3703	extradit	33
3704	extraordinari	12
3705	extraordinarili	2
3706	extravag	2
3707	extrem	21
3708	extremist	17
3709	extric	2
3710	exuber	1
3711	exud	1
3712	exult	1
3713	eyadema	1
3714	eyal	1
3715	eye	67
3716	eyebal	1
3717	eyelid	1
3718	eyesburn	1
3719	eyewit	10
3720	eyewitnesss	1
3721	f	26
3722	fa	3
3723	faa	1
3724	fabiani	1
3725	fabric	5
3726	facad	4
3727	face	186
3728	facial	1
3729	facil	45
3730	facilit	4
3731	fact	110
3732	factbook	4
3733	faction	13
3734	facto	2
3735	factor	23
3736	factori	20
3737	factual	1
3738	fade	24
3739	fadeyev	1
3740	fadhli	1
3741	fagan	1
3742	fahrenheit	1
3743	fail	115
3744	failur	16
3745	faint	6
3746	faintli	1
3747	fair	46
3748	fairfax	1
3749	fairleigh	1
3750	fairli	16
3751	faisal	1
3752	faith	9
3753	faithless	1
3754	fake	10
3755	fall	68
3756	fallen	27
3757	fallout	1
3758	faln	1
3759	fals	30
3760	falsif	1
3761	falsifi	5
3762	falter	4
3763	fame	6
3764	famer	1
3765	famili	213
3766	familiar	17
3767	famou	4
3768	fan	10
3769	fanci	1
3770	fanfar	2
3771	far	181
3772	faraway	3
3773	farc	2
3774	fare	1
3775	farera	1
3776	farewel	16
3777	farid	1
3778	farina	3
3779	farinella	1
3780	farm	9
3781	farmer	8
3782	farmington	1
3783	farrier	1
3784	farther	2
3785	farthest	2
3786	fascin	5
3787	fascist	3
3788	fashion	8
3789	faso	8
3790	fast	24
3791	faster	11
3792	fastest	2
3793	fat	2
3794	fatal	8
3795	fatalist	1
3796	fate	33
3797	father	76
3798	fatherless	1
3799	fatigu	7
3800	fatwa	1
3801	fault	29
3802	faulti	1
3803	favor	49
3804	favorit	14
3805	faw	1
3806	fax	14
3807	fay	1
3808	fayettevil	1
3809	fbi	113
3810	fda	1
3811	fear	110
3812	fearless	4
3813	feasibl	4
3814	feast	1
3815	feat	8
3816	featur	19
3817	feb	2
3818	februari	3
3819	fed	15
3820	feder	138
3821	federalist	1
3822	federico	11
3823	fee	5
3824	feed	14
3825	feel	118
3826	feet	62
3827	fehn	2
3828	feign	1
3829	feingold	1
3830	feinstein	3
3831	felix	9
3832	fell	66
3833	fellow	39
3834	felon	4
3835	feloni	13
3836	felt	81
3837	femal	13
3838	feminist	1
3839	fenc	6
3840	fend	2
3841	ferdinand	1
3842	ferment	1
3843	fernand	5
3844	fernandez	1
3845	fernando	5
3846	feroci	1
3847	ferraro	1
3848	ferreira	3
3849	ferrer	1
3850	ferrero	12
3851	ferret	2
3852	ferri	4
3853	fertil	3
3854	fervor	5
3855	fest	1
3856	festiv	8
3857	fetch	1
3858	fever	6
3859	feverish	1
3860	fewer	17
3861	fewest	1
3862	fh	1
3863	fhimah	1
3864	fiance	1
3865	fiberglass	9
3866	fiction	2
3867	fictiti	3
3868	fidel	5
3869	fidelia	2
3870	fidget	2
3871	fie	1
3872	fiefdom	2
3873	field	49
3874	fierc	16
3875	fieri	3
3876	fierrera	1
3877	fife	2
3878	fifteen	3
3879	fifteenth	1
3880	fifth	37
3881	fifti	2
3882	fight	77
3883	fighter	15
3884	figur	93
3885	fijimori	1
3886	file	40
3887	filipov	1
3888	fill	62
3889	fillmor	1
3890	film	8
3891	filter	1
3892	filth	1
3893	final	199
3894	finalist	5
3895	financ	41
3896	financi	63
3897	find	215
3898	fine	43
3899	finest	5
3900	finger	13
3901	fingerprint	5
3902	fingertip	1
3903	finish	59
3904	finit	2
3905	fink	3
3906	finland	2
3907	finsburi	1
3908	fir	4
3909	fire	130
3910	firearm	12
3911	firebal	1
3912	firebomb	1
3913	firecrack	2
3914	firefight	6
3915	fireman	4
3916	firepow	2
3917	firerescu	1
3918	fireston	1
3919	firestorm	1
3920	firework	5
3921	firm	32
3922	firmer	1
3923	firmli	11
3924	first	442
3925	firstli	1
3926	fiscal	3
3927	fischer	2
3928	fish	10
3929	fisheri	1
3930	fisherman	2
3931	fishermen	5
3932	fissur	1
3933	fist	21
3934	fit	27
3935	fitcher	1
3936	fitter	1
3937	fittingli	1
3938	fitzgerald	7
3939	five	227
3940	fix	16
3941	fizzl	1
3942	fl	1
3943	fla	17
3944	flabbergast	1
3945	flag	42
3946	flagrant	2
3947	flair	2
3948	flak	1
3949	flake	3
3950	flaku	3
3951	flame	9
3952	flank	6
3953	flare	3
3954	flash	3
3955	flashbulb	1
3956	flashlight	1
3957	flashpoint	3
3958	flat	13
3959	flatb	1
3960	flatli	1
3961	flatten	23
3962	flatter	1
3963	flatwar	1
3964	flaw	15
3965	flawless	2
3966	flawlessli	1
3967	flea	1
3968	fled	72
3969	fledg	1
3970	fledgl	2
3971	flee	36
3972	fleet	72
3973	fleischer	1
3974	flesh	2
3975	fletchal	1
3976	fletcher	4
3977	flew	33
3978	flex	1
3979	flexibl	2
3980	flfing	1
3981	fli	50
3982	flier	1
3983	flight	49
3984	flimsi	1
3985	fling	1
3986	flint	1
3987	flintoff	2
3988	flip	7
3989	float	15
3990	floater	1
3991	flood	38
3992	floodlight	1
3993	floodlit	2
3994	floor	38
3995	flop	4
3996	flore	15
3997	floresc	1
3998	florez	2
3999	florida	42
4000	florist	1
4001	floss	1
4002	flotilla	12
4003	flour	2
4004	flourish	3
4005	flow	10
4006	flower	8
4007	flown	44
4008	floyd	2
4009	fluctuat	1
4010	fluid	2
4011	flung	8
4012	fluorid	1
4013	flurri	4
4014	flush	1
4015	fluster	2
4016	fluti	1
4017	flux	1
4018	fm	1
4019	focu	44
4020	focus	45
4021	focuss	2
4022	foe	16
4023	fofana	2
4024	fog	11
4025	foggi	4
4026	foil	6
4027	fold	3
4028	foley	2
4029	folk	7
4030	folklor	1
4031	follow	216
4032	followup	1
4033	foment	3
4034	fond	2
4035	font	1
4036	food	61
4037	fool	2
4038	foolish	1
4039	foot	107
4040	footag	3
4041	footbal	10
4042	foothil	6
4043	foothold	6
4044	footnot	1
4045	footprint	1
4046	footstep	1
4047	footwear	1
4048	footwork	1
4049	forag	4
4050	foray	3
4051	forb	3
4052	forbid	1
4053	forbidden	2
4054	forc	366
4055	forcep	1
4056	forcibl	2
4057	ford	11
4058	fore	2
4059	forebod	1
4060	forecast	8
4061	foreclos	1
4062	forefront	2
4063	forehand	15
4064	forehead	2
4065	foreign	191
4066	foremost	3
4067	forens	21
4068	forerunn	2
4069	forese	3
4070	foreseen	1
4071	forest	9
4072	foretast	1
4073	forev	9
4074	foreword	1
4075	forg	4
4076	forgav	1
4077	forgeri	1
4078	forget	12
4079	forgiv	7
4080	forgiven	1
4081	forgot	1
4082	forgotten	5
4083	fork	2
4084	form	95
4085	formal	42
4086	format	9
4087	former	268
4088	formerli	9
4089	formid	4
4090	formul	1
4091	formula	3
4092	fornl	1
4093	forsak	1
4094	fort	13
4095	forth	5
4096	forti	5
4097	fortifi	2
4098	fortitud	1
4099	fortnight	1
4100	fortress	1
4101	fortun	16
4102	forum	15
4103	forward	57
4104	foster	4
4105	fought	48
4106	foul	1
4107	found	236
4108	foundat	8
4109	founder	10
4110	fountain	1
4111	four	273
4112	fourth	57
4113	fox	7
4114	foyer	2
4115	fpi	2
4116	fpt	1
4117	fr	1
4118	fraction	7
4119	fractiou	2
4120	fractur	9
4121	fragil	7
4122	fragment	9
4123	fraim	1
4124	frame	7
4125	framework	2
4126	franc	36
4127	franchis	1
4128	franci	6
4129	franciscan	2
4130	francisco	37
4131	francoi	1
4132	franjo	3
4133	frank	28
4134	frankfort	4
4135	frankfurt	9
4136	frankli	8
4137	frantic	20
4138	fraser	1
4139	frasur	1
4140	fraud	68
4141	fraudul	5
4142	fraught	3
4143	fray	4
4144	frazier	2
4145	fred	2
4146	freder	1
4147	fredericqu	1
4148	frederik	1
4149	free	119
4150	freed	22
4151	freedom	40
4152	freeh	25
4153	freeli	14
4154	freelli	1
4155	freepelti	2
4156	freer	2
4157	freewheel	1
4158	freez	2
4159	freight	2
4160	fremd	5
4161	fremont	2
4162	french	70
4163	frenchman	8
4164	frenchmen	1
4165	frenchwoman	2
4166	frenzi	3
4167	frequent	28
4168	fresh	18
4169	fresher	1
4170	freshman	5
4171	freshmen	1
4172	fresno	1
4173	fri	1
4174	friction	1
4175	friday	216
4176	friend	80
4177	friendli	19
4178	friendship	6
4179	frigat	10
4180	frighten	21
4181	frigid	1
4182	frist	2
4183	frond	1
4184	front	83
4185	frontier	1
4186	frontlin	1
4187	frown	1
4188	froze	7
4189	frozen	4
4190	fruit	7
4191	fruition	1
4192	fruitless	1
4193	frustrat	40
4194	fsb	4
4195	ft	1
4196	fudg	1
4197	fuel	40
4198	fuerth	1
4199	fugazi	5
4200	fugimori	1
4201	fugit	73
4202	fujimori	62
4203	fulfil	5
4204	full	83
4205	fullest	4
4206	fulli	37
4207	fume	1
4208	fun	2
4209	function	14
4210	functionari	2
4211	fund	72
4212	fundament	13
4213	fundamentalist	9
4214	fundrais	1
4215	funer	19
4216	funnel	3
4217	funni	2
4218	furi	5
4219	furiou	12
4220	furious	6
4221	furnish	2
4222	furnitur	6
4223	furor	2
4224	furrow	2
4225	furthermor	3
4226	furthest	1
4227	furtiv	2
4228	fuselag	1
4229	fuss	1
4230	futa	1
4231	futil	4
4232	futur	88
4233	futurist	1
4234	fuzzi	1
4235	g	14
4236	ga	52
4237	gabbi	1
4238	gabe	1
4239	gabon	2
4240	gabriel	1
4241	gadget	1
4242	gadhafi	1
4243	gaell	1
4244	gaff	1
4245	gafney	1
4246	gag	1
4247	gagliardi	2
4248	gagnoa	4
4249	gaig	1
4250	gain	73
4251	gajar	1
4252	gal	1
4253	galapago	2
4254	gale	6
4255	galiardi	1
4256	gallup	3
4257	gallust	3
4258	galo	8
4259	galvan	2
4260	galvin	1
4261	gama	1
4262	gamaa	2
4263	gamarra	1
4264	gambler	2
4265	game	57
4266	gan	3
4267	gandhi	7
4268	gandhinagar	1
4269	gang	17
4270	gangster	2
4271	gantlet	1
4272	gap	12
4273	gape	16
4274	garag	6
4275	garbag	17
4276	garbl	4
4277	garcia	23
4278	garden	13
4279	gari	8
4280	garin	1
4281	garland	1
4282	garment	1
4283	garner	5
4284	garri	2
4285	garro	1
4286	garwood	3
4287	gase	1
4288	gash	4
4289	gasolin	2
4290	gasp	1
4291	gaston	1
4292	gate	17
4293	gatehous	2
4294	gateway	2
4295	gather	90
4296	gatl	1
4297	gatorad	1
4298	gaudi	1
4299	gaug	4
4300	gauna	2
4301	gaur	1
4302	gautam	1
4303	gave	105
4304	gavel	1
4305	gavlak	1
4306	gawker	1
4307	gay	13
4308	gaza	16
4309	gaze	4
4310	gazett	1
4311	gazillion	1
4312	gbagbo	38
4313	gbessi	1
4314	gbgm	1
4315	gear	10
4316	gedda	1
4317	gedrif	1
4318	gee	1
4319	geeman	1
4320	gehman	10
4321	gejdenson	4
4322	gelu	1
4323	gen	77
4324	gendarm	2
4325	gene	2
4326	gener	230
4327	generos	2
4328	genex	1
4329	genocid	4
4330	genom	1
4331	genrikh	1
4332	gentl	1
4333	gentleman	1
4334	gentlemen	1
4335	gentli	6
4336	genuin	5
4337	geo	5
4338	geoff	1
4339	geofferi	1
4340	geoffrey	3
4341	geographi	1
4342	geolog	11
4343	geologist	2
4344	geopolit	1
4345	georg	117
4346	georgetown	1
4347	georgi	1
4348	georgia	9
4349	georgian	2
4350	gephardt	2
4351	gerald	1
4352	gerd	1
4353	gerhard	5
4354	gerin	1
4355	german	23
4356	germani	63
4357	germicid	1
4358	gerri	1
4359	gerstein	1
4360	gestapo	1
4361	gestur	21
4362	get	284
4363	getaway	7
4364	getter	1
4365	ghashmi	1
4366	ghee	1
4367	ghost	4
4368	gi	1
4369	giant	11
4370	gift	18
4371	gigant	1
4372	giggl	2
4373	gil	1
4374	gila	1
4375	gilbert	1
4376	gillespi	2
4377	gilman	1
4378	gilmor	2
4379	gimbel	1
4380	gina	1
4381	ginger	2
4382	gingerli	3
4383	girder	1
4384	girl	29
4385	girlfriend	3
4386	giuliani	12
4387	give	168
4388	given	115
4389	gizbert	3
4390	glad	11
4391	gladi	1
4392	gladkovich	1
4393	gladli	1
4394	glanc	5
4395	glascoff	1
4396	glaspi	3
4397	glass	20
4398	gleefulli	2
4399	glen	4
4400	glenni	2
4401	glimps	6
4402	glisten	1
4403	global	19
4404	globe	6
4405	glori	3
4406	gloria	1
4407	glorifi	1
4408	gloriou	2
4409	glove	4
4410	glow	3
4411	glue	4
4412	glum	1
4413	gmc	1
4414	gnassingb	1
4415	gnd	1
4416	go	367
4417	goal	19
4418	goate	1
4419	gobbl	1
4420	god	37
4421	goddess	1
4422	goe	33
4423	goggl	1
4424	goh	1
4425	goin	4
4426	gokool	1
4427	gold	15
4428	golden	4
4429	goldman	3
4430	goldsmith	3
4431	goldstein	4
4432	golf	4
4433	golfer	1
4434	goliath	1
4435	gone	74
4436	gonna	5
4437	good	206
4438	goodby	5
4439	goodwil	4
4440	gop	22
4441	goran	6
4442	gorbachov	1
4443	gordana	1
4444	gordi	3
4445	gordon	7
4446	gore	66
4447	gorgeou	1
4448	gorton	8
4449	gosh	1
4450	gossip	1
4451	gostran	1
4452	got	134
4453	gotten	11
4454	gov	77
4455	gove	1
4456	gover	1
4457	govern	352
4458	government	3
4459	governor	78
4460	gown	3
4461	grab	15
4462	grabbi	1
4463	grace	6
4464	graceless	1
4465	graciou	3
4466	grade	6
4467	grado	1
4468	gradual	9
4469	graduat	5
4470	graf	2
4471	graff	1
4472	graffiti	2
4473	graham	3
4474	grain	3
4475	graini	1
4476	gram	12
4477	gramm	3
4478	grammar	1
4479	grand	66
4480	grandchildren	2
4481	granddaught	4
4482	grandfath	2
4483	grandios	1
4484	grandma	1
4485	grandmaison	1
4486	grandmom	1
4487	grandmoth	5
4488	grandson	13
4489	granger	5
4490	granit	1
4491	grant	48
4492	grapevin	1
4493	graphic	2
4494	grappl	3
4495	grasp	7
4496	grassley	1
4497	grate	17
4498	gratifi	3
4499	gratitud	4
4500	grave	22
4501	gravesid	2
4502	gravest	1
4503	gravi	1
4504	gravit	1
4505	graviti	1
4506	gray	3
4507	graze	1
4508	great	97
4509	greater	30
4510	greatest	17
4511	greatli	2
4512	greec	4
4513	greed	1
4514	greek	3
4515	green	18
4516	greenhous	1
4517	greenleaf	1
4518	greenway	1
4519	greenwood	2
4520	greet	32
4521	greg	20
4522	gregor	4
4523	gregori	1
4524	gregorio	1
4525	grenad	11
4526	grenada	2
4527	greta	3
4528	grew	19
4529	grey	1
4530	grid	2
4531	gridlock	2
4532	grief	10
4533	griev	8
4534	grievanc	4
4535	griffith	1
4536	grim	18
4537	grimac	4
4538	grin	5
4539	grind	4
4540	grip	18
4541	grisli	2
4542	gritti	2
4543	groan	1
4544	groceri	2
4545	groh	1
4546	groom	1
4547	groov	2
4548	grope	1
4549	grosanc	1
4550	grosjean	17
4551	gross	2
4552	grotesqu	3
4553	ground	104
4554	groundbreak	1
4555	groundless	3
4556	groundstrok	12
4557	groundwork	3
4558	group	192
4559	grove	1
4560	grow	61
4561	grown	17
4562	growth	8
4563	grubac	2
4564	gruber	1
4565	grucci	3
4566	grudg	1
4567	grudgingli	1
4568	gruel	5
4569	gruesom	2
4570	grumbl	2
4571	gruntlik	4
4572	gu	1
4573	guadalup	2
4574	guarante	21
4575	guaranti	2
4576	guard	80
4577	guardao	2
4578	guardian	5
4579	guardsmen	2
4580	guatemala	23
4581	guatemalan	2
4582	gubernatori	3
4583	guei	38
4584	guerilla	4
4585	guerrilla	18
4586	guess	18
4587	guest	14
4588	guevara	1
4589	guid	26
4590	guidelin	11
4591	guido	1
4592	guie	3
4593	guillermo	1
4594	guilt	4
4595	guilti	41
4596	guinea	2
4597	guis	3
4598	gujarat	39
4599	gujarati	2
4600	gujral	1
4601	gulch	1
4602	gulf	94
4603	gull	1
4604	gullast	1
4605	gum	1
4606	gun	50
4607	gunboat	2
4608	gunfight	1
4609	gunfir	9
4610	gung	1
4611	gunman	2
4612	gunmen	1
4613	gunn	4
4614	gunrun	1
4615	gunshot	8
4616	gupta	2
4617	gurney	1
4618	guru	1
4619	gustavo	17
4620	gut	4
4621	gutman	1
4622	guy	33
4623	guzman	2
4624	guzun	1
4625	gymnasium	3
4626	gyro	2
4627	gyrocompass	1
4628	gyroscop	3
4629	h	32
4630	ha	3
4631	haass	4
4632	habiar	1
4633	habib	1
4634	habit	2
4635	haddock	1
4636	hadhramaut	6
4637	hadi	1
4638	hadith	1
4639	hadn	7
4640	hadramaut	2
4641	hager	2
4642	hagerstown	2
4643	haggard	1
4644	haggl	1
4645	hagu	33
4646	hahdramaut	1
4647	hai	2
4648	haider	1
4649	haight	1
4650	hail	11
4651	haiphong	1
4652	hair	19
4653	hairbreadth	1
4654	hairstyl	5
4655	hairstylist	1
4656	haiti	1
4657	haitian	1
4658	hal	1
4659	hale	1
4660	halevi	2
4661	haley	1
4662	half	123
4663	halfway	4
4664	haliberton	1
4665	hall	22
4666	halliburton	4
4667	hallway	3
4668	halprin	15
4669	halt	22
4670	ham	2
4671	hama	9
4672	hamdi	1
4673	hamilton	5
4674	hammer	12
4675	hammerfest	1
4676	hammock	1
4677	hamper	15
4678	hampshir	4
4679	hampton	1
4680	hamstr	1
4681	hamza	2
4682	hancock	1
4683	hand	165
4684	handcount	1
4685	handcuf	3
4686	handgun	12
4687	handi	3
4688	handicap	1
4689	handili	1
4690	handl	38
4691	handler	1
4692	handov	4
4693	handpick	5
4694	handshak	3
4695	handsom	2
4696	handwritten	4
4697	hang	23
4698	hangar	4
4699	hanger	1
4700	hankey	1
4701	hanoi	39
4702	hanov	1
4703	hantuchova	6
4704	hap	1
4705	haphazard	1
4706	happen	145
4707	happi	36
4708	happier	4
4709	happiest	3
4710	happili	1
4711	hara	1
4712	haraldseid	1
4713	harass	5
4714	harazi	2
4715	harbor	99
4716	harborsid	1
4717	harbour	1
4718	harburi	3
4719	hard	87
4720	hardbal	1
4721	hardcourt	3
4722	harden	6
4723	harder	11
4724	hardest	22
4725	hardi	2
4726	hardli	15
4727	hardlin	1
4728	hardship	6
4729	hardwar	1
4730	haren	13
4731	harerb	1
4732	harin	1
4733	harjivan	3
4734	harlem	1
4735	harley	1
4736	harm	8
4737	harmless	1
4738	harold	14
4739	harp	1
4740	harper	19
4741	harpoon	1
4742	harri	5
4743	harrison	2
4744	harrow	1
4745	harsh	16
4746	harshli	3
4747	hart	5
4748	harvard	2
4749	harvest	1
4750	harvey	1
4751	hashim	1
4752	hasid	3
4753	hasn	22
4754	hass	1
4755	hassan	1
4756	hassl	1
4757	hast	3
4758	hasten	1
4759	hastert	5
