68	0.052500
210	0.040149
344	0.020029
764	0.092082
863	0.076401
958	0.047752
975	0.288425
1029	0.053492
1109	0.135267
1524	0.026086
1633	0.045038
1743	0.048896
1902	0.069599
1972	0.034748
2000	0.085148
2079	0.096476
2081	0.068392
2187	0.080380
2906	0.095300
3013	0.105073
3182	0.075375
3307	0.065270
3367	0.030261
3369	0.078594
3462	0.072537
3526	0.060494
3595	0.068821
4054	0.052826
4111	0.033479
4193	0.079770
4326	0.075220
4361	0.095300
4362	0.032527
4387	0.045181
4576	0.063063
4683	0.045615
4799	0.061602
4804	0.078027
4981	0.038247
5000	0.086704
5010	0.032274
5014	0.031775
5060	0.053291
5258	0.058419
5534	0.106859
5610	0.147828
5660	0.081649
5764	0.051177
5983	0.072987
6020	0.018559
6069	0.031126
6080	0.041589
6162	0.050631
6211	0.088366
6358	0.034841
6363	0.221771
6425	0.066606
6451	0.039803
6499	0.070402
6599	0.033925
6809	0.303786
6822	0.075883
6967	0.033656
7195	0.096476
7217	0.135400
7278	0.024212
7288	0.027353
7554	0.014260
7577	0.212350
7605	0.053291
7641	0.072987
7970	0.039455
8004	0.054954
8174	0.042342
8214	0.125495
8270	0.028909
8342	0.016509
8344	0.038572
8347	0.129885
8465	0.051361
8528	0.096476
8574	0.039348
8621	0.131206
8651	0.052115
8726	0.039348
8738	0.064942
8855	0.136883
8985	0.097713
9104	0.118561
9159	0.100393
9464	0.029565
9639	0.071660
9655	0.074392
9656	0.122640
9854	0.118561
9862	0.089243
9886	0.083687
10007	0.104229
10258	0.072987
10346	0.053091
10385	0.050274
10431	0.091098
10444	0.125495
10497	0.245281
10522	0.065603
10667	0.057445
10824	0.129889
11001	0.046967
11008	0.057093
11017	0.066282
11056	0.057701
11114	0.158349
11121	0.056740
11237	0.029351
11339	0.015110
11789	0.056740
11929	0.057927
11982	0.057927
12009	0.118561
12028	0.025508
12043	0.035794
12086	0.045181
12199	0.059695
12201	0.118301
12204	0.049404
12217	0.073446
12291	0.015400
12330	0.051548
